Date,District,RF,T max ,T min,Avg_tem
7/11/2014,Colombo,0,30.7,24.7,27.7
7/12/2014,Colombo,0,30.9,27.4,29.15
7/13/2014,Colombo,0,31.2,27.4,29.3
7/14/2014,Colombo,1.8,30.9,26.8,28.85
7/15/2014,Colombo,2.2,31.2,26.3,28.75
7/16/2014,Colombo,0,31.3,24.7,28
7/17/2014,Colombo,0,31.1,27.3,29.2
7/18/2014,Colombo,0,31.1,27.4,29.25
7/19/2014,Colombo,0,31.5,27.7,29.6
7/20/2014,Colombo,0,30.6,27.4,29
7/21/2014,Colombo,0,31.5,27,29.25
7/22/2014,Colombo,3.3,31.7,27.3,29.5
7/23/2014,Colombo,0,30.7,26.4,28.55
7/24/2014,Colombo,0,31.5,27.3,29.4
7/25/2014,Colombo,0,31.5,27.4,29.45
7/26/2014,Colombo,0,31.1,27.7,29.4
7/27/2014,Colombo,4.5,30.5,27.6,29.05
7/28/2014,Colombo,9.5,30.1,25.9,28
7/29/2014,Colombo,0,30.9,24.2,27.55
7/30/2014,Colombo,0,31.2,27.1,29.15
7/31/2014,Colombo,0.2,31.1,27.2,29.15
8/1/2014,Colombo,67.6,31.1,26.9,29
8/2/2014,Colombo,2.9,30.1,24.1,27.1
8/3/2014,Colombo,7.4,30.3,25.1,27.7
8/4/2014,Colombo,0,30,25.3,27.65
8/5/2014,Colombo,3,30.6,26.5,28.55
8/6/2014,Colombo,0,30.6,25.3,27.95
8/7/2014,Colombo,0.5,30.5,26.8,28.65
8/8/2014,Colombo,0,30.5,27.2,28.85
8/9/2014,Colombo,0.4,30.7,24.9,27.8
8/10/2014,Colombo,15,30.2,26.6,28.4
8/11/2014,Colombo,7.8,29,24.9,26.95
8/12/2014,Colombo,0.2,29.9,23.7,26.8
8/13/2014,Colombo,0,30,24.5,27.25
8/14/2014,Colombo,0,30.7,26.3,28.5
8/15/2014,Colombo,0,30.5,26.8,28.65
8/16/2014,Colombo,9.2,30.2,27.1,28.65
8/17/2014,Colombo,17.4,28.5,25.2,26.85
8/18/2014,Colombo,1.5,29.9,24.3,27.1
8/19/2014,Colombo,34.7,30.4,24.3,27.35
8/20/2014,Colombo,6.2,30.5,24.3,27.4
8/21/2014,Colombo,16,28.7,25.1,26.9
8/22/2014,Colombo,57.4,27.1,24.5,25.8
8/23/2014,Colombo,7.4,30.2,23.7,26.95
8/24/2014,Colombo,0.3,30.3,24.5,27.4
8/25/2014,Colombo,0,30.6,25.3,27.95
8/26/2014,Colombo,0,30.3,25.5,27.9
8/27/2014,Colombo,0,30.6,26.7,28.65
8/28/2014,Colombo,0,31,27.3,29.15
8/29/2014,Colombo,0,30.9,27.2,29.05
8/30/2014,Colombo,0.5,30.9,27.2,29.05
8/31/2014,Colombo,0,30.9,25.1,28
9/1/2014,Colombo,5.7,31.1,27.2,29.15
9/2/2014,Colombo,41.6,29.5,24.8,27.15
9/3/2014,Colombo,8.4,29.9,23.5,26.7
9/4/2014,Colombo,23.9,29.5,23.3,26.4
9/5/2014,Colombo,0,30.2,24.3,27.25
9/6/2014,Colombo,1.4,30.8,25.5,28.15
9/7/2014,Colombo,6.3,29.5,26,27.75
9/8/2014,Colombo,21.8,30.4,24.5,27.45
9/9/2014,Colombo,1.1,30.4,23.6,27
9/10/2014,Colombo,6.8,29.9,25,27.45
9/11/2014,Colombo,0.4,30.6,25.4,28
9/12/2014,Colombo,1,31.1,26.4,28.75
9/13/2014,Colombo,16.8,31.3,27.1,29.2
9/14/2014,Colombo,15.6,30.8,26,28.4
9/15/2014,Colombo,0.3,30.6,24.9,27.75
9/16/2014,Colombo,3.5,30.8,26.3,28.55
9/17/2014,Colombo,0.2,30.6,25.9,28.25
9/18/2014,Colombo,21.9,31,26.3,28.65
9/19/2014,Colombo,0,30.9,25.6,28.25
9/20/2014,Colombo,0,30.7,27.2,28.95
9/21/2014,Colombo,0,30.7,25.8,28.25
9/22/2014,Colombo,0,30.9,25.7,28.3
9/23/2014,Colombo,32.7,31,26.4,28.7
9/24/2014,Colombo,0.7,31.1,25.4,28.25
9/25/2014,Colombo,15.1,30.9,24.9,27.9
9/26/2014,Colombo,32.9,30.4,24.4,27.4
9/27/2014,Colombo,0.2,30.9,24.1,27.5
9/28/2014,Colombo,1.3,31.1,24.7,27.9
9/29/2014,Colombo,30.6,31.3,24.8,28.05
9/30/2014,Colombo,22.5,29.8,24.9,27.35
